GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,0,20,0,0,0,6,0,3,0,3
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,5,69,2,2,2,19,2,7,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,CurvePointController,0,56,0,0,0,16,0,7,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,0,56,0,0,0,16,0,7,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,0,67,0,0,0,19,0,7,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,0,56,0,0,0,16,0,7,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,0,67,0,0,0,19,0,7,0,7
spring-boot-skeleton,com.nnk.springboot.service.impl,TradeServiceImpl,0,67,0,4,0,15,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.service.impl,CurvePointServiceImpl,0,67,0,4,0,15,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.service.impl,UserServiceImpl,9,121,6,10,2,23,6,10,0,8
spring-boot-skeleton,com.nnk.springboot.service.impl,RuleNameServiceImpl,0,42,0,0,0,9,0,7,0,7
spring-boot-skeleton,com.nnk.springboot.service.impl,BidListServiceImpl,0,67,0,4,0,15,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.service.impl,RatingServiceImpl,0,36,0,0,0,9,0,6,0,6
spring-boot-skeleton,com.nnk.springboot.Exception,GlobalExceptionHandler,23,3,0,0,5,1,2,1,2,1
spring-boot-skeleton,com.nnk.springboot.Exception,InvalidValidatePasswordException,6,10,0,0,2,4,2,1,2,1
spring-boot-skeleton,com.nnk.springboot.Exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.model,CurvePoint,15,30,0,0,5,14,5,8,5,8
spring-boot-skeleton,com.nnk.springboot.model,RuleName,28,24,0,0,12,10,8,7,8,7
spring-boot-skeleton,com.nnk.springboot.model,BidList,126,31,0,0,54,13,36,9,36,9
spring-boot-skeleton,com.nnk.springboot.model,Rating,0,38,0,0,0,16,0,11,0,11
spring-boot-skeleton,com.nnk.springboot.model,User,0,38,0,0,0,16,0,11,0,11
spring-boot-skeleton,com.nnk.springboot.model,Trade,132,18,0,0,56,8,38,5,38,5
spring-boot-skeleton,com.nnk.springboot.security,SecurityConfig,0,89,0,0,0,20,0,7,0,7
spring-boot-skeleton,com.nnk.springboot.security,CustomUserDetailsService,0,26,0,0,0,6,0,3,0,3
spring-boot-skeleton,com.nnk.springboot.security,CustomUserDetails,4,31,0,0,1,10,1,8,1,8
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
